Initializing env
'MountainCarEnv' object has no attribute 'init'
Initializing basis
Initializing agent
Initializing reward_func
'super' object has no attribute 'init'
Initializing gamma_func
Initializing offpolicy
'bool' object has no attribute 'init'
Initializing max_episodes
'int' object has no attribute 'init'
Initializing buffer_size
'int' object has no attribute 'init'
Initializing batch_size
'int' object has no attribute 'init'
Initializing seed
'int' object has no attribute 'init'
Episode: 0 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 1 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 2 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 3 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 4 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 5 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 6 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 7 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 8 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 9 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 10 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 11 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 12 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 13 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 14 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 15 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 16 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 17 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 18 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 19 | Total Reward: -118.0 | Length: 118 | Avg Reward: -1.0
Episode: 20 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 21 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 22 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 23 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 24 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 25 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 26 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 27 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 28 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 29 | Total Reward: -147.0 | Length: 147 | Avg Reward: -1.0
Episode: 30 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 31 | Total Reward: -69.0 | Length: 69 | Avg Reward: -1.0
Episode: 32 | Total Reward: -79.0 | Length: 79 | Avg Reward: -1.0
Episode: 33 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 34 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 35 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 36 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 37 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 38 | Total Reward: -51.0 | Length: 51 | Avg Reward: -1.0
Episode: 39 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 40 | Total Reward: -53.0 | Length: 53 | Avg Reward: -1.0
Episode: 41 | Total Reward: -52.0 | Length: 52 | Avg Reward: -1.0
Episode: 42 | Total Reward: -156.0 | Length: 156 | Avg Reward: -1.0
Episode: 43 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 44 | Total Reward: -86.0 | Length: 86 | Avg Reward: -1.0
Episode: 45 | Total Reward: -96.0 | Length: 96 | Avg Reward: -1.0
Episode: 46 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 47 | Total Reward: -75.0 | Length: 75 | Avg Reward: -1.0
Episode: 48 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 49 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 50 | Total Reward: -199.0 | Length: 199 | Avg Reward: -1.0
Episode: 51 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 52 | Total Reward: -59.0 | Length: 59 | Avg Reward: -1.0
Episode: 53 | Total Reward: -65.0 | Length: 65 | Avg Reward: -1.0
Episode: 54 | Total Reward: -177.0 | Length: 177 | Avg Reward: -1.0
Episode: 55 | Total Reward: -86.0 | Length: 86 | Avg Reward: -1.0
Episode: 56 | Total Reward: -58.0 | Length: 58 | Avg Reward: -1.0
Episode: 57 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 58 | Total Reward: -64.0 | Length: 64 | Avg Reward: -1.0
Episode: 59 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 60 | Total Reward: -61.0 | Length: 61 | Avg Reward: -1.0
Episode: 61 | Total Reward: -67.0 | Length: 67 | Avg Reward: -1.0
Episode: 62 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 63 | Total Reward: -104.0 | Length: 104 | Avg Reward: -1.0
Episode: 64 | Total Reward: -55.0 | Length: 55 | Avg Reward: -1.0
Episode: 65 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 66 | Total Reward: -56.0 | Length: 56 | Avg Reward: -1.0
Episode: 67 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 68 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 69 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 70 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 71 | Total Reward: -106.0 | Length: 106 | Avg Reward: -1.0
Episode: 72 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 73 | Total Reward: -54.0 | Length: 54 | Avg Reward: -1.0
Episode: 74 | Total Reward: -55.0 | Length: 55 | Avg Reward: -1.0
Episode: 75 | Total Reward: -57.0 | Length: 57 | Avg Reward: -1.0
Episode: 76 | Total Reward: -71.0 | Length: 71 | Avg Reward: -1.0
Episode: 77 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 78 | Total Reward: -57.0 | Length: 57 | Avg Reward: -1.0
Episode: 79 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 80 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 81 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 82 | Total Reward: -57.0 | Length: 57 | Avg Reward: -1.0
Episode: 83 | Total Reward: -64.0 | Length: 64 | Avg Reward: -1.0
Episode: 84 | Total Reward: -87.0 | Length: 87 | Avg Reward: -1.0
Episode: 85 | Total Reward: -76.0 | Length: 76 | Avg Reward: -1.0
Episode: 86 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 87 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 88 | Total Reward: -66.0 | Length: 66 | Avg Reward: -1.0
Episode: 89 | Total Reward: -68.0 | Length: 68 | Avg Reward: -1.0
Episode: 90 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 91 | Total Reward: -75.0 | Length: 75 | Avg Reward: -1.0
Episode: 92 | Total Reward: -61.0 | Length: 61 | Avg Reward: -1.0
Episode: 93 | Total Reward: -62.0 | Length: 62 | Avg Reward: -1.0
Episode: 94 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 95 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 96 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 97 | Total Reward: -55.0 | Length: 55 | Avg Reward: -1.0
Episode: 98 | Total Reward: -64.0 | Length: 64 | Avg Reward: -1.0
Episode: 99 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 100 | Total Reward: -67.0 | Length: 67 | Avg Reward: -1.0
Episode: 101 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 102 | Total Reward: -58.0 | Length: 58 | Avg Reward: -1.0
Episode: 103 | Total Reward: -51.0 | Length: 51 | Avg Reward: -1.0
Episode: 104 | Total Reward: -53.0 | Length: 53 | Avg Reward: -1.0
Episode: 105 | Total Reward: -67.0 | Length: 67 | Avg Reward: -1.0
Episode: 106 | Total Reward: -63.0 | Length: 63 | Avg Reward: -1.0
Episode: 107 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 108 | Total Reward: -96.0 | Length: 96 | Avg Reward: -1.0
Episode: 109 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 110 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 111 | Total Reward: -60.0 | Length: 60 | Avg Reward: -1.0
Episode: 112 | Total Reward: -52.0 | Length: 52 | Avg Reward: -1.0
Episode: 113 | Total Reward: -70.0 | Length: 70 | Avg Reward: -1.0
Episode: 114 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 115 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 116 | Total Reward: -91.0 | Length: 91 | Avg Reward: -1.0
Episode: 117 | Total Reward: -89.0 | Length: 89 | Avg Reward: -1.0
Episode: 118 | Total Reward: -70.0 | Length: 70 | Avg Reward: -1.0
Episode: 119 | Total Reward: -86.0 | Length: 86 | Avg Reward: -1.0
Episode: 120 | Total Reward: -86.0 | Length: 86 | Avg Reward: -1.0
Episode: 121 | Total Reward: -54.0 | Length: 54 | Avg Reward: -1.0
Episode: 122 | Total Reward: -78.0 | Length: 78 | Avg Reward: -1.0
Episode: 123 | Total Reward: -64.0 | Length: 64 | Avg Reward: -1.0
Episode: 124 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 125 | Total Reward: -52.0 | Length: 52 | Avg Reward: -1.0
Episode: 126 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 127 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 128 | Total Reward: -51.0 | Length: 51 | Avg Reward: -1.0
Episode: 129 | Total Reward: -55.0 | Length: 55 | Avg Reward: -1.0
Episode: 130 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 131 | Total Reward: -52.0 | Length: 52 | Avg Reward: -1.0
Episode: 132 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 133 | Total Reward: -76.0 | Length: 76 | Avg Reward: -1.0
Episode: 134 | Total Reward: -68.0 | Length: 68 | Avg Reward: -1.0
Episode: 135 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 136 | Total Reward: -79.0 | Length: 79 | Avg Reward: -1.0
Episode: 137 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 138 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 139 | Total Reward: -64.0 | Length: 64 | Avg Reward: -1.0
Episode: 140 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 141 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 142 | Total Reward: -57.0 | Length: 57 | Avg Reward: -1.0
Episode: 143 | Total Reward: -66.0 | Length: 66 | Avg Reward: -1.0
Episode: 144 | Total Reward: -92.0 | Length: 92 | Avg Reward: -1.0
Episode: 145 | Total Reward: -64.0 | Length: 64 | Avg Reward: -1.0
Episode: 146 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 147 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 148 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 149 | Total Reward: -53.0 | Length: 53 | Avg Reward: -1.0
Episode: 150 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 151 | Total Reward: -72.0 | Length: 72 | Avg Reward: -1.0
Episode: 152 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 153 | Total Reward: -59.0 | Length: 59 | Avg Reward: -1.0
Episode: 154 | Total Reward: -67.0 | Length: 67 | Avg Reward: -1.0
Episode: 155 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 156 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 157 | Total Reward: -58.0 | Length: 58 | Avg Reward: -1.0
Episode: 158 | Total Reward: -55.0 | Length: 55 | Avg Reward: -1.0
